"user_id","course_id","item_id","module_id","item_start_ts","item_complete_ts","module_order"
"163121","7A1yFTaREeWWBQrVFXqd","4ahK","AWp2","2016-06-06 06:21:03.423","2016-06-07 04:05:16.69","2"
"452201","RMFRum1BEeWXrA6ju0fv","kz1L","6BaZ","2016-07-03 04:34:28.543","[NULL]","2"
"193668","RMFRum1BEeWXrA6ju0fv","72i8","xeqL","2016-11-16 22:18:49.414","2016-11-16 22:18:49.414","1"
"48512","RMFRum1BEeWXrA6ju0fv","Q2xk","6BaZ","2016-08-10 00:11:17.263","2016-08-10 00:18:19.358","2"
"68121","RMFRum1BEeWXrA6ju0fv","OS8h","nCCL","2016-03-08 18:47:31.249","2016-03-08 18:51:46.983","3"
"68121","GdeNrll1EeSROyIACtiV","PBmv","C36e","2016-02-23 19:33:24.623","2016-02-23 19:33:24.623","2"
"115365","GdeNrll1EeSROyIACtiV","3vb3","VaMv","2016-06-22 14:05:11.273","2016-06-22 14:05:57.434","1"
"58741","7A1yFTaREeWWBQrVFXqd","Ktdf","6Zdm","2016-04-16 14:11:35.136","[NULL]","0"
"163121","RMFRum1BEeWXrA6ju0fv","6NMO","6BaZ","2016-02-15 04:57:55.57","2016-02-15 04:57:55.57","2"
"226466","RMFRum1BEeWXrA6ju0fv","2xbd","xeqL","2016-04-03 13:15:39.516","[NULL]","1"
"193668","RMFRum1BEeWXrA6ju0fv","iaPr","UlD0","2016-11-16 21:31:53.465","2016-11-16 21:46:27.633","0"
"237860","7A1yFTaREeWWBQrVFXqd","4gKO","6Zdm","2016-10-21 00:29:23.627","2016-10-21 00:29:24.646","0"
"128384","7A1yFTaREeWWBQrVFXqd","CZk7","xNVL","2016-12-22 08:45:45.268","[NULL]","6"
"551865","GdeNrll1EeSROyIACtiV","AJTy","U70C","2016-03-09 06:00:40.362","2016-03-09 06:07:49.069","0"
"193668","7A1yFTaREeWWBQrVFXqd","hfT8","a91A","2016-01-15 15:05:50.52","2016-01-15 15:05:50.52","3"
"18256","GdeNrll1EeSROyIACtiV","2Uqf","VaMv","2016-02-21 03:32:37.787","[NULL]","1"
"35610","7A1yFTaREeWWBQrVFXqd","90y7","a91A","2016-11-29 20:40:08.363","2016-12-04 17:56:03.302","3"
"657785","GdeNrll1EeSROyIACtiV","J5vC","U70C","2016-06-10 18:58:23.654","2016-06-10 19:06:26.551","0"
"117806","RMFRum1BEeWXrA6ju0fv","cnA4","UlD0","2016-02-28 18:45:14.006","2016-02-28 18:52:32.507","0"
"53694","7A1yFTaREeWWBQrVFXqd","W0U3","AWp2","2016-07-27 13:07:29.813","2016-07-27 13:07:29.813","2"
"253848","7A1yFTaREeWWBQrVFXqd","oEjg","6Zdm","2016-10-21 11:36:34.143","[NULL]","0"
"304134","7A1yFTaREeWWBQrVFXqd","WgsF","AWp2","2016-04-23 17:02:33.019","[NULL]","2"
"107503","RMFRum1BEeWXrA6ju0fv","kz1L","6BaZ","2016-03-03 12:28:38.103","2016-03-03 12:34:18.747","2"
"123687","GdeNrll1EeSROyIACtiV","ruX7","C36e","2016-04-01 05:25:53.279","[NULL]","2"
"642798","7A1yFTaREeWWBQrVFXqd","CZk7","VVmL","2016-08-18 09:13:54.147","2016-08-18 09:15:51.646","1"
"260834","GdeNrll1EeSROyIACtiV","7MK7","Ebrt","2016-02-11 12:52:23.57","2016-02-11 12:54:29.627","3"
"115365","7A1yFTaREeWWBQrVFXqd","pkju","xNVL","2016-01-22 21:33:04.084","2016-01-22 21:38:33.052","6"
"131266","7A1yFTaREeWWBQrVFXqd","obNE","AWp2","2016-04-15 17:20:35.731","[NULL]","2"
"452201","RMFRum1BEeWXrA6ju0fv","kz1L","UlD0","2016-07-03 04:34:28.543","[NULL]","0"
"205388","7A1yFTaREeWWBQrVFXqd","yHJA","Avge","2016-06-06 11:51:57.448","2016-06-06 12:11:33.137","5"
"107503","7A1yFTaREeWWBQrVFXqd","snP1","AWp2","2016-01-12 10:23:53.304","2016-01-12 10:31:22.092","2"
"232737","7A1yFTaREeWWBQrVFXqd","T9R7","VVmL","2016-09-30 22:40:32.016","2016-09-30 22:40:57.351","1"
"642798","RMFRum1BEeWXrA6ju0fv","4osP","nCCL","2016-11-28 19:16:33.122","2016-12-31 13:47:22.369","3"
"107503","GdeNrll1EeSROyIACtiV","CtdD","U70C","2016-02-17 07:07:56.20","2016-02-17 07:19:55.099","0"
"569876","GdeNrll1EeSROyIACtiV","Ignx","U70C","2016-08-22 23:25:37.261","2016-08-22 23:31:31.087","0"
"604252","RMFRum1BEeWXrA6ju0fv","IYp9","6BaZ","2016-07-08 04:52:43.365","2016-07-08 04:54:05.323","2"
"419414","7A1yFTaREeWWBQrVFXqd","i73q","AWp2","2016-09-07 04:56:38.511","2016-09-07 04:56:42.209","2"
"466207","RMFRum1BEeWXrA6ju0fv","e284","6BaZ","2016-12-21 15:16:44.452","2016-12-21 15:41:19.245","2"
"565483","7A1yFTaREeWWBQrVFXqd","m6Jz","xNVL","2016-01-25 14:16:42.239","2016-01-25 14:17:11.369","6"
"35610","7A1yFTaREeWWBQrVFXqd","pl4K","6Zdm","2016-12-05 19:29:19.433","2016-12-05 19:29:19.433","0"
"222138","RMFRum1BEeWXrA6ju0fv","wkAH","UlD0","2016-07-31 20:19:38.928","2016-07-31 20:26:10.653","0"
"179604","RMFRum1BEeWXrA6ju0fv","IYp9","nCCL","2016-06-08 20:47:42.153","2016-06-08 20:47:44.476","3"
"68121","RMFRum1BEeWXrA6ju0fv","jRIs","6BaZ","2016-03-19 20:18:59.726","2016-03-19 20:18:59.726","2"
"37901","7A1yFTaREeWWBQrVFXqd","JPKA","VVmL","2016-05-10 03:00:27.615","2016-05-10 03:00:27.615","1"
"68121","RMFRum1BEeWXrA6ju0fv","Eidk","UlD0","2016-03-09 19:34:37.412","2016-03-09 19:38:44.307","0"
"163121","7A1yFTaREeWWBQrVFXqd","nldq","VVmL","2016-05-09 09:20:05.75","2016-05-09 10:13:15.302","1"
"163121","RMFRum1BEeWXrA6ju0fv","bayd","nCCL","2016-02-11 04:49:14.19","2016-02-11 04:55:35.249","3"
"208049","7A1yFTaREeWWBQrVFXqd","T9R7","AWp2","2016-11-28 07:05:30.419","2016-11-28 07:07:45.949","2"
"480039","7A1yFTaREeWWBQrVFXqd","e5jg","AWp2","2016-06-15 18:51:04.878","[NULL]","2"
"193668","RMFRum1BEeWXrA6ju0fv","bQ5B","6BaZ","2016-11-08 16:52:15.286","2016-11-08 16:57:32.535","2"
"642798","7A1yFTaREeWWBQrVFXqd","i73q","JpGj","2016-07-20 03:22:12.678","2016-07-20 03:26:06.189","4"
"335122","RMFRum1BEeWXrA6ju0fv","Ge1i","nCCL","2016-02-08 04:50:49.482","2016-02-08 04:50:49.482","3"
"107503","GdeNrll1EeSROyIACtiV","9BqZ","VaMv","2016-02-17 06:51:30.57","2016-02-17 07:05:30.689","1"
"37901","GdeNrll1EeSROyIACtiV","SIck","U70C","2016-05-29 01:01:21.463","2016-05-29 01:02:58.184","0"
"6334","RMFRum1BEeWXrA6ju0fv","sYn1","nCCL","2016-01-17 23:00:21.539","2016-01-17 23:00:21.539","3"
"466207","7A1yFTaREeWWBQrVFXqd","wYO1","VVmL","2016-09-03 04:09:19.856","[NULL]","1"
"35610","RMFRum1BEeWXrA6ju0fv","pAba","6BaZ","2016-08-09 19:26:53.307","2016-08-09 19:42:56.403","2"
"569876","7A1yFTaREeWWBQrVFXqd","Ktdf","JpGj","2016-08-02 00:12:50.272","[NULL]","4"
"418754","7A1yFTaREeWWBQrVFXqd","90y7","JpGj","2016-01-07 04:16:31.327","2016-01-07 04:21:16.631","4"
"115365","7A1yFTaREeWWBQrVFXqd","h9d5","AWp2","2016-01-14 19:28:07.81","2016-01-20 17:37:10.816","2"
"68121","RMFRum1BEeWXrA6ju0fv","MzJQ","xeqL","2016-03-09 19:31:07.545","2016-03-09 19:34:12.345","1"
"75837","RMFRum1BEeWXrA6ju0fv","Ne4E","xeqL","2016-01-29 16:58:45.962","2016-01-29 17:11:31.97","1"
"460219","7A1yFTaREeWWBQrVFXqd","L0qD","xNVL","2016-02-06 01:33:48.582","2016-02-06 02:38:05.567","6"
"604252","RMFRum1BEeWXrA6ju0fv","ZGM8","6BaZ","2016-07-08 05:36:10.029","2016-07-08 05:36:15.323","2"
"115365","7A1yFTaREeWWBQrVFXqd","W0U3","a91A","2016-01-14 19:28:24.669","2016-01-14 19:28:24.669","3"
"657785","RMFRum1BEeWXrA6ju0fv","usAI","xeqL","2016-02-27 21:55:30.849","2016-02-27 21:55:30.849","1"
"583935","RMFRum1BEeWXrA6ju0fv","tNy8","nCCL","2016-01-23 07:15:25","2016-01-23 08:04:24.366","3"
"445983","RMFRum1BEeWXrA6ju0fv","lYHL","6BaZ","2016-03-03 21:02:39.192","2016-03-03 21:08:29.237","2"
"647722","7A1yFTaREeWWBQrVFXqd","pkju","a91A","2016-01-11 11:36:37.674","2016-01-11 11:44:47.625","3"
"570577","7A1yFTaREeWWBQrVFXqd","WgsF","JpGj","2016-05-26 11:47:47.28","2016-05-26 12:10:18.608","4"
"428987","GdeNrll1EeSROyIACtiV","8s6D","U70C","2016-09-18 05:33:14.217","2016-09-18 05:34:12.28","0"
"30737","7A1yFTaREeWWBQrVFXqd","qt5S","AWp2","2016-08-05 11:20:39.481","[NULL]","2"
"93471","GdeNrll1EeSROyIACtiV","9miF","U70C","2016-01-11 10:02:32.088","2016-01-11 10:10:26.054","0"
"193668","RMFRum1BEeWXrA6ju0fv","tNy8","6BaZ","2016-11-16 13:54:06.151","2016-11-16 20:20:16.322","2"
"493750","7A1yFTaREeWWBQrVFXqd","k4ED","a91A","2016-06-24 23:30:21.566","[NULL]","3"
"190277","RMFRum1BEeWXrA6ju0fv","usAI","xeqL","2016-06-26 19:08:33.804","2016-06-26 19:11:07.856","1"
"30737","7A1yFTaREeWWBQrVFXqd","nldq","6Zdm","2016-08-03 11:24:53.848","2016-08-03 11:30:14.736","0"
"551865","7A1yFTaREeWWBQrVFXqd","Ktdf","xNVL","2016-02-08 10:33:14.921","2016-02-08 10:35:32.336","6"
"563741","7A1yFTaREeWWBQrVFXqd","DCzL","Avge","2016-06-07 07:29:03.45","[NULL]","5"
"205388","7A1yFTaREeWWBQrVFXqd","WlvL","6Zdm","2016-05-20 18:27:41.179","2016-05-20 18:27:41.179","0"
"237860","7A1yFTaREeWWBQrVFXqd","qsBP","6Zdm","2016-12-22 06:14:22.026","2016-12-22 06:37:14.589","0"
"419075","7A1yFTaREeWWBQrVFXqd","bfYO","JpGj","2016-05-03 19:13:53.008","2016-05-03 19:13:53.008","4"
"567746","RMFRum1BEeWXrA6ju0fv","sRVr","6BaZ","2016-09-01 15:03:27.296","[NULL]","2"
"93471","RMFRum1BEeWXrA6ju0fv","ek1g","nCCL","2016-01-21 05:01:03.743","2016-01-29 20:34:21.092","3"
"664642","RMFRum1BEeWXrA6ju0fv","IHss","UlD0","2016-01-10 11:19:37.317","2016-01-10 11:25:37.382","0"
"205388","7A1yFTaREeWWBQrVFXqd","plCV","AWp2","2016-05-26 14:02:52.097","2016-05-26 14:18:41.606","2"
"604252","7A1yFTaREeWWBQrVFXqd","nldq","JpGj","2016-07-08 04:06:41.513","2016-07-08 04:28:39.175","4"
"518312","RMFRum1BEeWXrA6ju0fv","bQ5B","xeqL","2016-01-31 10:11:52.727","[NULL]","1"
"657785","GdeNrll1EeSROyIACtiV","1bY0","VaMv","2016-05-20 01:38:31.847","2016-05-20 01:39:39.61","1"
"583935","RMFRum1BEeWXrA6ju0fv","lB1s","xeqL","2016-01-11 00:05:32.913","2016-01-11 00:23:41.213","1"
"584510","GdeNrll1EeSROyIACtiV","NoDe","C36e","2016-09-04 16:56:27.906","2016-09-05 10:00:28.214","2"
"68121","RMFRum1BEeWXrA6ju0fv","QiIJ","nCCL","2016-03-07 19:06:43.228","2016-03-07 19:13:41.809","3"
"18256","RMFRum1BEeWXrA6ju0fv","qozq","6BaZ","2016-02-15 21:38:26.23","[NULL]","2"
"58741","RMFRum1BEeWXrA6ju0fv","IHss","6BaZ","2016-05-27 18:41:58.897","2016-05-29 18:47:21.141","2"
"193668","GdeNrll1EeSROyIACtiV","2Uqf","Ebrt","2016-02-03 09:14:56.417","2016-02-03 09:19:35.519","3"
"642798","GdeNrll1EeSROyIACtiV","GVac","Ebrt","2016-10-04 15:54:03.546","2016-10-04 15:57:43.855","3"
"571878","RMFRum1BEeWXrA6ju0fv","Eidk","UlD0","2016-05-20 04:03:17.733","2016-05-20 04:58:02.275","0"
"179604","GdeNrll1EeSROyIACtiV","LmHG","VaMv","2016-02-14 02:08:37.21","2016-02-14 02:12:52.118","1"
"13439","GdeNrll1EeSROyIACtiV","X7E9","U70C","2016-09-16 11:09:05.923","2016-09-16 13:18:12.564","0"
"493750","GdeNrll1EeSROyIACtiV","Emra","C36e","2016-06-21 02:29:56.908","2016-06-21 02:50:21.857","2"
"48512","GdeNrll1EeSROyIACtiV","bwfi","U70C","2016-05-03 04:06:00.838","2016-05-03 04:06:00.838","0"
"493750","GdeNrll1EeSROyIACtiV","sAVP","C36e","2016-01-11 22:54:21.56","2016-01-11 23:00:51.34","2"
"493750","RMFRum1BEeWXrA6ju0fv","6NMO","xeqL","2016-11-26 12:25:07.852","2016-12-17 21:30:05.521","1"
"13439","7A1yFTaREeWWBQrVFXqd","NhDl","Avge","2016-12-24 19:04:28.819","2016-12-24 19:05:35.153","5"
"304134","RMFRum1BEeWXrA6ju0fv","qFvz","nCCL","2016-04-07 18:19:33.914","2016-04-07 18:38:38.19","3"
"376444","RMFRum1BEeWXrA6ju0fv","ek1g","6BaZ","2016-04-21 13:43:00.794","2016-04-21 15:08:39.639","2"
"107503","7A1yFTaREeWWBQrVFXqd","v9Kq","JpGj","2016-01-19 07:35:31.573","2016-01-19 07:35:37.496","4"
"445983","RMFRum1BEeWXrA6ju0fv","U2Ih","xeqL","2016-03-04 21:16:44.762","2016-03-04 21:16:44.762","1"
"418754","7A1yFTaREeWWBQrVFXqd","RO25","Avge","2016-01-07 04:05:43.657","2016-01-07 04:15:16.794","5"
"657785","GdeNrll1EeSROyIACtiV","QuZs","Ebrt","2016-06-11 13:41:44.564","2016-06-11 13:46:40.09","3"
"642798","RMFRum1BEeWXrA6ju0fv","qedl","6BaZ","2016-10-26 21:19:06.796","2016-10-26 21:20:28.083","2"
"68121","RMFRum1BEeWXrA6ju0fv","mWch","6BaZ","2016-04-02 21:34:23.927","2016-04-02 21:34:23.927","2"
"117806","7A1yFTaREeWWBQrVFXqd","KBil","VVmL","2016-05-10 19:41:01.53","[NULL]","1"
"664642","7A1yFTaREeWWBQrVFXqd","jxql","a91A","2016-04-09 09:18:26.026","2016-04-09 09:18:26.026","3"
"493750","RMFRum1BEeWXrA6ju0fv","w98B","nCCL","2016-12-18 01:44:45.534","2016-12-18 01:47:43.895","3"
"483883","7A1yFTaREeWWBQrVFXqd","GoNc","VVmL","2016-06-03 15:50:48.719","2016-06-03 16:54:32.992","1"
"253848","RMFRum1BEeWXrA6ju0fv","BM3d","nCCL","2016-07-12 20:22:43.864","[NULL]","3"
"647287","RMFRum1BEeWXrA6ju0fv","Gwlx","6BaZ","2016-03-29 04:05:57.932","2016-03-29 04:05:57.932","2"
"115365","GdeNrll1EeSROyIACtiV","1bYD","Ebrt","2016-06-06 12:42:25.433","2016-06-06 12:45:00.856","3"
"410099","GdeNrll1EeSROyIACtiV","U52T","VaMv","2016-01-06 18:22:26.709","2016-01-06 18:24:29.863","1"
"68121","GdeNrll1EeSROyIACtiV","toyI","U70C","2016-01-29 10:33:52.261","2016-01-29 10:33:52.261","0"
"419414","7A1yFTaREeWWBQrVFXqd","obNE","AWp2","2016-09-06 03:35:32.522","2016-09-06 03:35:41.052","2"
"445983","RMFRum1BEeWXrA6ju0fv","lYHL","nCCL","2016-03-03 21:02:39.192","2016-03-03 21:08:29.237","3"
"452201","RMFRum1BEeWXrA6ju0fv","Eidk","6BaZ","2016-07-03 04:26:35.768","2016-07-03 04:31:27.893","2"
"657785","7A1yFTaREeWWBQrVFXqd","GoNc","xNVL","2016-07-08 20:03:09.346","2016-07-08 20:05:47.425","6"
"193649","7A1yFTaREeWWBQrVFXqd","Ktdf","AWp2","2016-03-01 02:18:21.935","[NULL]","2"
"676756","GdeNrll1EeSROyIACtiV","YS6F","U70C","2016-08-03 22:53:30.206","2016-08-03 22:57:35.583","0"
"642798","7A1yFTaREeWWBQrVFXqd","oEjg","JpGj","2016-07-20 03:07:14.623","2016-07-20 03:07:14.623","4"
"570577","7A1yFTaREeWWBQrVFXqd","5N6c","a91A","2016-05-26 11:17:48.236","2016-05-26 11:17:48.236","3"
"410099","7A1yFTaREeWWBQrVFXqd","h9d5","a91A","2016-05-18 18:44:06.352","[NULL]","3"
"376444","GdeNrll1EeSROyIACtiV","X7E9","U70C","2016-01-25 18:50:24.992","2016-01-25 18:54:41.106","0"
"302840","RMFRum1BEeWXrA6ju0fv","3CIU","6BaZ","2016-01-06 12:42:54.502","2016-01-06 12:48:58.581","2"
"48512","RMFRum1BEeWXrA6ju0fv","BM3d","UlD0","2016-08-05 02:51:30.415","2016-08-05 03:00:58.493","0"
"18256","RMFRum1BEeWXrA6ju0fv","Ge1i","nCCL","2016-02-15 12:11:23.013","2016-02-15 12:11:23.013","3"
"260834","GdeNrll1EeSROyIACtiV","O6cZ","Ebrt","2016-02-05 15:09:21.422","2016-02-05 15:09:21.422","3"
"190277","7A1yFTaREeWWBQrVFXqd","eqEg","JpGj","2016-01-20 17:52:00.269","2016-01-20 17:52:00.269","4"
"584510","7A1yFTaREeWWBQrVFXqd","GoNc","6Zdm","2016-02-13 14:09:49.383","2016-02-13 14:15:05.073","0"
"107503","7A1yFTaREeWWBQrVFXqd","obNE","a91A","2016-01-12 09:18:43.327","2016-01-12 09:25:16.851","3"
"78405","7A1yFTaREeWWBQrVFXqd","TIAK","VVmL","2016-01-21 20:01:31.052","2016-01-21 20:12:29.889","1"
"193649","7A1yFTaREeWWBQrVFXqd","oEjg","a91A","2016-03-01 02:15:41.523","2016-03-01 02:15:41.523","3"
"587828","RMFRum1BEeWXrA6ju0fv","3CIU","xeqL","2016-03-03 23:27:42.488","2016-03-16 16:33:03.099","1"
"565483","RMFRum1BEeWXrA6ju0fv","IHss","UlD0","2016-01-22 03:39:46.931","2016-01-22 04:37:33.818","0"
"584510","GdeNrll1EeSROyIACtiV","GVac","Ebrt","2016-09-03 08:44:35.626","2016-09-03 08:48:14.736","3"
"179604","7A1yFTaREeWWBQrVFXqd","i73q","JpGj","2016-02-21 22:39:46.682","2016-02-21 22:39:51.052","4"
"89021","7A1yFTaREeWWBQrVFXqd","GoNc","Avge","2016-01-04 23:32:16.805","[NULL]","5"
"604252","7A1yFTaREeWWBQrVFXqd","jxql","Avge","2016-07-07 07:30:37.799","2016-07-07 07:30:40.634","5"
"93471","RMFRum1BEeWXrA6ju0fv","X300","6BaZ","2016-01-17 18:23:07.517","2016-01-17 18:23:07.517","2"
"115365","7A1yFTaREeWWBQrVFXqd","k4ED","JpGj","2016-02-08 17:23:53.507","[NULL]","4"
"232737","RMFRum1BEeWXrA6ju0fv","Eidk","UlD0","2016-11-16 20:33:33.702","2016-11-16 20:46:39.523","0"
"78405","RMFRum1BEeWXrA6ju0fv","PDOO","6BaZ","2016-02-14 18:05:17.928","2016-02-14 18:06:12.309","2"
"260834","RMFRum1BEeWXrA6ju0fv","qedl","UlD0","2016-02-14 15:33:27.206","2016-02-14 15:34:40.15","0"
"466207","7A1yFTaREeWWBQrVFXqd","oEjg","JpGj","2016-09-03 05:22:07.361","[NULL]","4"
"222138","RMFRum1BEeWXrA6ju0fv","IYp9","nCCL","2016-03-31 06:59:40.443","2016-03-31 06:59:40.443","3"
"75837","7A1yFTaREeWWBQrVFXqd","YpNQ","JpGj","2016-01-11 18:13:41.952","2016-01-11 18:59:38.849","4"
"193668","7A1yFTaREeWWBQrVFXqd","BciF","6Zdm","2016-01-22 18:00:48.332","2016-01-22 18:00:48.332","0"
"109127","GdeNrll1EeSROyIACtiV","1bYD","C36e","2016-11-27 03:52:15.094","2016-11-27 03:54:17.053","2"
"428987","GdeNrll1EeSROyIACtiV","Emra","Ebrt","2016-09-18 05:49:22.775","2016-09-18 05:49:56.747","3"
"39383","RMFRum1BEeWXrA6ju0fv","Eidk","UlD0","2016-06-07 01:36:01.292","2016-06-07 01:46:14.951","0"
"657785","7A1yFTaREeWWBQrVFXqd","nldq","6Zdm","2016-07-08 20:37:16.495","2016-07-08 20:51:09.48","0"
"54517","RMFRum1BEeWXrA6ju0fv","qedl","xeqL","2016-04-06 16:18:39.023","2016-04-06 16:25:54.432","1"
"563741","GdeNrll1EeSROyIACtiV","ZRXC","Ebrt","2016-05-19 09:06:37.306","[NULL]","3"
"518420","7A1yFTaREeWWBQrVFXqd","obNE","JpGj","2016-05-01 14:09:17.562","[NULL]","4"
"37901","7A1yFTaREeWWBQrVFXqd","BciF","VVmL","2016-05-10 02:40:52.589","2016-05-10 02:40:52.589","1"
"584510","GdeNrll1EeSROyIACtiV","SQDq","Ebrt","2016-09-06 12:53:24.507","[NULL]","3"
"190277","7A1yFTaREeWWBQrVFXqd","WgsF","JpGj","2016-01-22 19:38:05.589","2016-02-18 16:08:47.934","4"
"657785","RMFRum1BEeWXrA6ju0fv","NUer","6BaZ","2016-02-06 20:13:49.391","2016-02-06 20:13:49.391","2"
"696608","GdeNrll1EeSROyIACtiV","hyLe","U70C","2016-11-30 22:23:06.118","[NULL]","0"
"657785","RMFRum1BEeWXrA6ju0fv","qFvz","nCCL","2016-02-03 23:18:12.925","2016-02-03 23:22:45.815","3"
"131266","7A1yFTaREeWWBQrVFXqd","L0qD","6Zdm","2016-04-15 16:11:17.571","2016-04-15 16:48:13.318","0"
"518312","7A1yFTaREeWWBQrVFXqd","5nLt","Avge","2016-11-14 04:50:21.034","2016-11-14 04:53:51.583","5"
"37901","7A1yFTaREeWWBQrVFXqd","qt5S","6Zdm","2016-05-10 03:27:57.497","2016-05-10 03:38:19.948","0"
"565483","RMFRum1BEeWXrA6ju0fv","lB1s","xeqL","2016-01-23 12:33:27","2016-01-23 13:58:07.095","1"
"179604","GdeNrll1EeSROyIACtiV","AJTy","Ebrt","2016-02-13 22:22:14.572","2016-02-13 22:25:20.033","3"
"107503","7A1yFTaREeWWBQrVFXqd","W0U3","6Zdm","2016-01-12 07:30:16.765","2016-01-12 07:30:16.765","0"
"75837","GdeNrll1EeSROyIACtiV","ZOTm","C36e","2016-01-03 03:57:10.942","2016-01-03 04:11:38.693","2"
"18256","RMFRum1BEeWXrA6ju0fv","nobf","xeqL","2016-02-15 14:26:27.133","[NULL]","1"
"193668","7A1yFTaREeWWBQrVFXqd","RqkS","6Zdm","2016-01-18 15:41:58.484","2016-01-18 15:41:58.484","0"
"664642","RMFRum1BEeWXrA6ju0fv","HW3T","nCCL","2016-01-09 18:47:19.16","2016-01-09 18:48:55.863","3"
"567746","7A1yFTaREeWWBQrVFXqd","EFuQ","a91A","2016-08-22 09:50:39.431","2016-08-22 09:50:39.431","3"
"419414","RMFRum1BEeWXrA6ju0fv","cnA4","UlD0","2016-05-23 23:35:48.232","2016-05-23 23:50:01.742","0"
"18256","RMFRum1BEeWXrA6ju0fv","4osP","nCCL","2016-02-15 20:55:18.742","[NULL]","3"
"190277","RMFRum1BEeWXrA6ju0fv","EXYy","6BaZ","2016-06-05 21:06:08.393","2016-06-05 21:06:38.711","2"
"619014","RMFRum1BEeWXrA6ju0fv","EXYy","6BaZ","2016-02-16 06:33:12.004","2016-02-16 06:33:12.004","2"
"642798","7A1yFTaREeWWBQrVFXqd","tElm","VVmL","2016-08-18 08:35:57.907","[NULL]","1"
"304134","7A1yFTaREeWWBQrVFXqd","qsBP","JpGj","2016-04-23 17:05:02.939","[NULL]","4"
"205388","7A1yFTaREeWWBQrVFXqd","hfT8","Avge","2016-05-20 18:39:11.772","2016-05-20 18:39:11.772","5"
